Exec Time	Symbol	Executed Shares	Price	Side	Contra	Liquidity	P&L
09:31:42	 NKE	0	88.30	SSD	EDGX	0/0	
09:32:05	 NKE	100	88.17	SSD	ROUT	0/100	
09:32:12	 NKE	0	88.12	BOT	EDGX	0/0	
09:32:19	 NKE	100	88.16	BOT	ROUT	0/100	+1.00
09:33:58	 NKE	100	88.24	BOT	DEMO	0/100	
09:34:01	 NKE	100	88.26	SLD	DEMO	0/100	+2.00
09:34:06	 NKE	0	88.30	BOT	EDGX	0/0	
09:34:28	 NKE	100	88.74	BOT	DEMO	0/100	
09:34:35	 NKE	100	88.69	SLD	DEMO	0/100	-4.65
09:34:41	 NKE	0	88.71	BOT	EDGX	0/0	
09:35:04	 NKE	100	88.76	BOT	ROUT	0/100	
09:35:11	 NKE	0	88.98	SLD	EDGX	0/0	
09:35:30	 NKE	100	89.00	SLD	DEMO	0/100	+24.00
09:44:55	 MJN	0	80.15	SSD	EDGX	0/0	
09:45:20	 NKE	100	88.90	BOT	ROUT	0/100	
09:45:27	 NKE	0	88.93	SLD	EDGX	0/0	
09:45:49	 NKE	100	88.95	SLD	ROUT	0/100	+5.00
09:48:08	 NKE	0	88.83	BOT	EDGX	0/0	
09:51:41	 NKE	0	89.26	BOT	EDGX	0/0	
09:51:49	 NKE	100	89.21	BOT	ROUT	0/100	
09:51:51	 NKE	0	89.21	SLD	EDGX	0/0	
09:51:55	 NKE	100	89.16	SLD	DEMO	0/100	-5.00
09:52:04	 NKE	0	89.15	BOT	EDGX	0/0	
09:52:15	 NKE	100	89.20	BOT	ROUT	0/100	
09:52:12	 NKE	100	89.23	BOT	ROUT	0/100	
09:52:19	 NKE	100	89.23	SLD	ROUT	0/100	
09:53:43	 NKE	100	89.19	SLD	ROUT	0/100	-1.00
09:54:01	 NKE	100	89.17	BOT	DEMO	0/100	
09:54:17	 NKE	0	89.47	SLD	EDGX	0/0	
09:54:32	 NKE	0	89.37	SLD	EDGX	0/0	
09:54:44	 NKE	100	89.21	SLD	DEMO	0/100	+4.00
09:54:56	 NKE	0	89.23	BOT	EDGX	0/0	
09:55:03	 NKE	0	89.29	BOT	EDGX	0/0	
09:55:10	 NKE	0	89.20	BOT	EDGX	0/0	
09:55:39	 NKE	0	89.32	BOT	EDGX	0/0	
09:55:48	 NKE	100	89.41	BOT	DEMO	0/100	
09:56:07	 NKE	0	89.43	SLD	EDGX	0/0	
09:56:08	 NKE	100	89.42	SLD	DEMO	0/100	+1.00
09:56:22	 NKE	100	89.36	BOT	DEMO	0/100	
09:56:44	 NKE	100	89.32	SLD	DEMO	0/100	-4.01
09:57:23	 NKE	0	89.33	BOT	EDGX	0/0	
09:57:56	 NKE	100	89.24	BOT	DEMO	0/100	
09:58:07	 NKE	0	89.50	SLD	EDGX	0/0	
09:58:26	 NKE	0	89.26	SLD	EDGX	0/0	
09:58:34	 NKE	100	89.25	SLD	ROUT	0/100	+1.00
10:03:48	 NKE	0	89.16	SSD	EDGX	0/0	
10:04:09	 NKE	100	89.17	SSD	ROUT	0/100	
10:04:33	 NKE	100	89.19	BOT	ROUT	0/100	-2.00
10:04:47	 NKE	0	89.20	SSD	EDGX	0/0	
10:06:23	 NKE	0	89.20	SSD	EDGX	0/0	
10:08:02	 BBY	100	22.72	BOT	ROUT	0/100	
10:35:11	 BBY	100	22.99	SLD	ROUT	0/100	+27.00
10:32:37	 NKE	100	88.35	SSD	ROUT	0/100	
10:38:55	 NKE	0	87.55	BOT	EDGX	0/0	
10:44:51	 NKE	100	88.12	BOT	DEMO	0/100	+23.50
12:51:35	 MJN	100	79.40	SSD	ROUT	0/100	
12:52:10	 MJN	0	79.00	BOT	EDGX	0/0	
12:59:56	 MJN	100	79.50	BOT	DEMO	0/100	-10.00
13:14:55	 MJN	100	79.78	SSD	ROUT	0/100	
13:17:09	 MJN	100	79.82	BOT	ROUT	0/100	-3.99
13:20:49	 HSH	100	29.00	BOT	ROUT	0/100	
13:32:31	 HSH	0	29.48	SLD	EDGX	0/0	
13:55:01	 HSH	0	29.40	SLD	EDGX	0/0	
14:00:01	 HSH	100	29.35	SLD	ROUT	0/100	+35.00
